frame,timestamp,fps,objects,contact_type,contact_active,is_persisting,flickers_so_far,dynamic_radius
0,22:42:06.134,0.2,2,NO,0,0,0,78
1,22:42:06.335,5.0,2,NO,0,0,0,72
2,22:42:06.523,5.3,2,NO,0,0,0,72
3,22:42:06.607,11.9,2,NO,0,0,0,71
4,22:42:06.755,6.7,2,NO,0,0,0,71
5,22:42:06.848,10.7,2,NO,0,0,0,71
6,22:42:07.014,6.0,2,NO,0,0,0,71
7,22:42:07.128,8.8,2,NO,0,0,0,71
8,22:42:07.316,5.3,2,NO,0,0,0,71
9,22:42:07.406,11.1,2,NO,0,0,0,71
10,22:42:07.583,5.7,1,NO,0,0,0,71
11,22:42:07.690,9.3,1,NO,0,0,0,71
12,22:42:07.876,5.4,1,NO,0,0,0,70
13,22:42:07.965,11.2,1,NO,0,0,0,70
14,22:42:08.157,5.2,1,NO,0,0,0,70
15,22:42:08.256,10.2,1,NO,0,0,0,70
16,22:42:08.446,5.3,1,NO,0,0,0,70
17,22:42:08.552,9.4,1,NO,0,0,0,69
18,22:42:08.725,5.8,1,NO,0,0,0,69
19,22:42:08.843,8.5,1,NO,0,0,0,69
20,22:42:09.050,4.8,1,NO,0,0,0,69
21,22:42:09.131,12.5,1,NO,0,0,0,68
22,22:42:09.314,5.4,1,NO,0,0,0,68
23,22:42:09.446,7.6,1,NO,0,0,0,68
24,22:42:09.617,5.8,1,NO,0,0,0,67
25,22:42:09.719,9.9,1,NO,0,0,0,67
26,22:42:09.939,4.5,1,NO,0,0,0,66
27,22:42:10.024,11.7,1,NO,0,0,0,66
28,22:42:10.195,5.9,1,NO,0,0,0,66
29,22:42:10.314,8.4,1,NO,0,0,0,65
30,22:42:10.526,4.7,1,NO,0,0,0,65
31,22:42:10.624,10.1,1,NO,0,0,0,64
32,22:42:10.798,5.8,1,NO,0,0,0,64
33,22:42:10.900,9.8,1,NO,0,0,0,64
34,22:42:11.071,5.9,1,NO,0,0,0,63
35,22:42:11.179,9.2,1,NO,0,0,0,63
36,22:42:11.363,5.4,1,NO,0,0,0,63
37,22:42:11.470,9.4,1,NO,0,0,0,63
38,22:42:11.677,4.8,1,NO,0,0,0,62
39,22:42:11.807,7.8,1,NO,0,0,0,63
40,22:42:11.990,5.4,1,NO,0,0,0,62
41,22:42:12.100,9.1,1,NO,0,0,0,62
42,22:42:12.305,4.9,1,NO,0,0,0,61
43,22:42:12.405,10.0,1,NO,0,0,0,61
44,22:42:12.585,5.6,1,NO,0,0,0,61
